mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
12;31;24.00;0.0;1.0;28;26;117;63;64;0;1032.5;-
1;1;1.00;0.0;2.0;34;16;200;54;64;0;1033.0;-
1;1;2.00;0.0;-0.1;30;21;109;64;73;0;1033.9;-
1;1;3.00;0.0;0.7;32;21;104;48;98;0;1034.2;-
1;1;4.00;0.0;1.2;35;13;45;33;54;0;1034.5;-
1;1;5.00;0.0;1.6;40;18;47;43;8;0;1034.0;-
1;1;6.00;0.0;1.4;37;18;85;28;55;0;1034.1;-
1;1;7.00;0.0;1.8;35;16;357;26;38;1;1034.5;-
1;1;8.00;0.0;2.3;36;15;359;29;354;103;1035.0;-
1;1;9.00;0.0;3.4;42;18;339;32;340;288;1035.1;-
1;1;10.00;0.0;4.4;47;19;29;34;350;552;1035.5;-
1;1;11.00;0.0;6.1;51;17;47;26;42;966;1034.7;-
1;1;12.00;0.0;6.9;43;12;69;21;41;1193;1034.3;-
1;1;13.00;0.0;7.4;41;8;339;15;45;1134;1033.6;-
1;1;14.00;0.0;7.7;43;6;352;12;338;618;1033.8;-
1;1;15.00;0.0;7.5;50;8;324;15;307;373;1034.0;-
1;1;16.00;0.0;7.2;48;7;76;16;321;5;1034.2;-
1;1;17.00;0.0;6.8;53;6;40;14;84;0;1033.8;-
1;1;18.00;0.0;7.2;56;12;40;21;53;0;1034.0;-
1;1;19.00;0.0;6.7;67;12;43;24;51;0;1034.4;-
1;1;20.00;0.0;7.6;61;16;31;26;43;0;1034.0;-
1;1;21.00;0.0;7.0;64;7;192;23;55;0;1033.8;-
1;1;22.00;0.0;8.1;61;11;80;31;53;0;1033.8;-
1;1;23.00;0.0;7.5;64;9;161;24;108;0;1033.4;-
1;1;24.00;0.0;8.0;63;9;109;20;99;0;1032.9;-
1;2;1.00;0.0;8.2;66;5;11;14;19;0;1032.6;-
1;2;2.00;0.0;6.7;71;5;121;11;50;0;1032.7;-
